month	day	count
1	1	2690
1	2	56
1	3	27
1	4	268
1	5	57
1	6	64
1	7	52
1	8	41
1	9	23
1	10	24
1	11	4
1	12	17
1	13	53
1	14	36
1	15	11
1	16	25
1	17	30
1	18	24
1	19	10
1	20	67
1	21	83
1	22	49
1	23	25
1	24	104
1	25	84
1	26	197
1	27	313
1	28	225
1	29	35
1	30	104
1	31	66
2	1	242
2	2	39
2	3	59
2	4	51
2	5	78
2	6	41
2	7	40
2	8	35
2	9	50
2	10	90
2	11	114
2	12	113
2	13	53
2	14	140
2	15	108
2	16	284
2	17	129
2	18	294
2	19	118
2	20	134
2	21	125
2	22	124
2	23	143
2	24	121
2	25	161
2	26	198
2	27	157
2	28	124
2	29	22
3	1	660
3	2	145
3	3	507
3	4	355
3	5	325
3	6	320
3	7	421
3	8	327
3	9	181
3	10	289
3	11	435
3	12	329
3	13	263
3	14	439
3	15	584
3	16	405
3	17	475
3	18	486
3	19	293
3	20	413
3	21	693
3	22	507
3	23	432
3	24	671
3	25	680
3	26	413
3	27	612
3	28	481
3	29	574
3	30	675
3	31	844
4	1	2248
4	2	767
4	3	484
4	4	887
4	5	810
4	6	1002
4	7	680
4	8	945
4	9	1093
4	10	1018
4	11	1366
4	12	1935
4	13	1126
4	14	1922
4	15	1651
4	16	1336
4	17	1663
4	18	1308
4	19	2068
4	20	1835
4	21	1576
4	22	2197
4	23	1491
4	24	1863
4	25	2370
4	26	2795
4	27	3353
4	28	2300
4	29	2363
4	30	2432
5	1	6332
5	2	3677
5	3	4093
5	4	3912
5	5	3650
5	6	4067
5	7	3679
5	8	3576
5	9	4203
5	10	4970
5	11	4135
5	12	5556
5	13	4375
5	14	4068
5	15	4921
5	16	5053
5	17	7673
5	18	6342
5	19	6219
5	20	7044
5	21	6117
5	22	6231
5	23	7873
5	24	7260
5	25	6977
5	26	8319
5	27	7368
5	28	8129
5	29	7731
5	30	9602
5	31	11054
6	1	21193
6	2	12562
6	3	12277
6	4	13843
6	5	13725
6	6	15164
6	7	18121
6	8	17283
6	9	17664
6	10	18231
6	11	18960
6	12	17127
6	13	17113
6	14	14605
6	15	20367
6	16	14948
6	17	16409
6	18	12662
6	19	12316
6	20	12635
6	21	11857
6	22	12069
6	23	10066
6	24	10652
6	25	9410
6	26	7944
6	27	8854
6	28	8705
6	29	9465
6	30	10288
7	1	13795
7	2	9578
7	3	8910
7	4	7587
7	5	8685
7	6	8503
7	7	7214
7	8	7432
7	9	6835
7	10	8205
7	11	8685
7	12	6588
7	13	6209
7	14	7325
7	15	7409
7	16	5811
7	17	6060
7	18	5361
7	19	5416
7	20	6039
7	21	4081
7	22	4185
7	23	4004
7	24	3391
7	25	3660
7	26	3088
7	27	3235
7	28	3361
7	29	3218
7	30	2949
7	31	2690
8	1	5531
8	2	1511
8	3	1574
8	4	1934
8	5	1683
8	6	1647
8	7	1822
8	8	1556
8	9	1160
8	10	1927
8	11	1268
8	12	1132
8	13	1222
8	14	1508
8	15	774
8	16	1279
8	17	1800
8	18	1940
8	19	790
8	20	718
8	21	1655
8	22	674
8	23	651
8	24	1344
8	25	860
8	26	180
8	27	404
8	28	869
8	29	178
8	30	939
8	31	1384
9	1	432
9	2	170
9	3	419
9	4	419
9	5	608
9	6	545
9	7	267
9	8	413
9	9	325
9	10	501
9	11	102
9	12	296
9	13	121
9	14	439
9	15	1753
9	16	1097
9	17	90
9	18	926
9	19	309
9	20	224
9	21	31
9	22	381
9	23	59
9	24	38
9	25	154
9	26	32
9	27	250
9	28	148
9	29	266
9	30	302
10	1	122
10	2	108
10	3	136
10	4	236
10	5	51
10	6	19
10	7	121
10	8	126
10	9	292
10	10	24
10	11	131
10	12	882
10	13	426
10	14	778
10	15	573
10	16	344
10	17	151
10	18	182
10	19	55
10	20	35
10	21	514
10	22	600
10	23	153
10	24	62
10	25	14
10	26	67
10	27	116
10	28	77
10	29	56
10	30	55
10	31	210
11	1	361
11	2	97
11	3	97
11	4	56
11	5	46
11	6	751
11	7	86
11	8	376
11	9	88
11	10	9
11	11	145
11	12	93
11	13	168
11	14	376
11	15	234
11	16	25
11	17	159
11	18	11
11	19	8
11	20	3
11	21	46
11	22	127
11	23	111
11	24	14
11	25	17
11	26	7
11	27	279
11	28	311
11	29	74
11	30	60
12	1	12
12	2	54
12	3	28
12	4	2
12	5	110
12	6	17
12	7	42
12	8	1
12	9	2
12	10	93
12	12	110
12	13	203
12	14	121
12	15	5
12	16	6
12	17	6
12	18	260
12	20	69
12	21	88
12	22	66
12	23	1
12	24	10
12	25	13
12	26	27
12	27	23
12	28	61
12	29	17
12	30	104
12	31	3434